country,product,kcal/country/year,kg_proteins/country/year,kg/country/year,energy_weight_ratio,prot_weight_ratio
Afghanistan,Viande de Bovins,301089960000.0,21076297.2,140233680.0,2147.0588235294117,0.15029411764705883
Afghanistan,Blé,15266376120000.0,411601126.8,4895346960.0,3118.548336765899,0.08408007239593085
Afghanistan,Viande d'Ovins/Caprins,345695880000.0,21299326.800000004,150315840.0,2299.79674796748,0.14169715447154474
Afghanistan,Riz (Eq Blanchi),1572358680000.0,30108996.0,422228640.0,3723.9507959479015,0.07130969609261939
Afghanistan,Viande de Volailles,100363320000.0,9701787.6,74852400.0,1340.8163265306123,0.12961224489795917
Afghanistan,"Viande, Autre",11151480000.0,1895751.6000000003,11609760.0,960.5263157894736,0.16328947368421057
Afghanistan,Orge,289938480000.0,8809669.200000001,89211840.0,3250.0,0.09875000000000002
Afghanistan,Abats Comestible,55757400000.0,8586639.6,52549440.0,1061.046511627907,0.16340116279069766
Afghanistan,Maïs,234181080000.0,6244828.800000002,76380000.0,3066.0,0.08176000000000003
Afghanistan,"Beurre, Ghee",256484040000.0,334544.4,35745840.0,7175.213675213675,0.00935897435897436
Afghanistan,Crème,33454440000.0,446059.20000000007,18331200.0,1825.0,0.02433333333333334
Afghanistan,Millet,33454440000.0,892118.4000000001,12220800.0,2737.5,0.07300000000000001
Afghanistan,Graisses Animales Crue,133817760000.0,111514.80000000002,14970480.0,8938.775510204081,0.0074489795918367355
Afghanistan,Oeufs,55757400000.0,4237562.4,39717600.0,1403.8461538461538,0.1066923076923077
Afghanistan,Pommes de Terre,167272200000.0,2787870.0,230056560.0,727.0916334661355,0.012118193891102257
Afghanistan,Lait - Excl Beurre,1115148000000.0,68247057.60000001,1901250960.0,586.5338261288767,0.03589587015908726
Afghanistan,Légumineuses Autres,256484040000.0,17396308.8,74546880.0,3440.5737704918033,0.23336065573770493
Afghanistan,Noix,133817760000.0,4237562.4,44300400.0,3020.689655172414,0.09565517241379311
